gene,pvalues,padj
FAM83C,0.018207135712493,1
GPR101,0.018207135712493,1
HMHA1,0.018207135712493,1
LPPR5,0.018207135712493,1
NPC1,0.018207135712493,1
PPP4R1,0.018207135712493,1
RASA3,0.018207135712493,1
RP11-385D13.1,0.018207135712493,1
SEMA6B,0.018207135712493,1
SLC17A6,0.018207135712493,1
IMPG1,0.0182442844123107,1
SYNPO2L,0.0182442844123107,1
DNAH1,0.0187341454690441,1
IGSF9B,0.0191460388217213,1
ADGRF3,0.0191682729100429,1
CDHR2,0.0191682729100429,1
EFCAB13,0.0191682729100429,1
IQSEC3,0.0191682729100429,1
NFATC4,0.0191682729100429,1
SEZ6L,0.0191682729100429,1
TICRR,0.0191682729100429,1
UNC5B,0.0191682729100429,1
GTF3C1,0.01935597619049,1
PTPRS,0.0197824910601302,1
NYAP2,0.0199128092985472,1
AGPAT4,0.0202448110383773,1
AHCYL1,0.0202448110383773,1
ANKRD45,0.0202448110383773,1
CSN1S1,0.0202448110383773,1
ETS2,0.0202448110383773,1
IGHG3,0.0202448110383773,1
KHDRBS1,0.0202448110383773,1
VN1R1,0.0202448110383773,1
ZNF639,0.0202448110383773,1
ATAD5,0.0226916160569397,1
CACNA1F,0.0226916160569397,1
FAM179B,0.0226916160569397,1
HECTD4,0.0233221692053925,1
HERC2,0.0233221692053925,1
CCDC174,0.0234209669882049,1
CEP72,0.0234209669882049,1
CEP89,0.0234209669882049,1
CHRNA2,0.0234209669882049,1
COL9A3,0.0234209669882049,1
DAK,0.0234209669882049,1
DLD,0.0234209669882049,1
DMRTB1,0.0234209669882049,1
ECI2,0.0234209669882049,1
EDAR,0.0234209669882049,1
ENTHD2,0.0234209669882049,1
EVX2,0.0234209669882049,1
GDPD5,0.0234209669882049,1
H6PD,0.0234209669882049,1
HNRNPH1,0.0234209669882049,1
HSPH1,0.0234209669882049,1
INHA,0.0234209669882049,1
ISLR,0.0234209669882049,1
KCNK13,0.0234209669882049,1
KIAA1958,0.0234209669882049,1
LIPT1,0.0234209669882049,1
MFSD6L,0.0234209669882049,1
MICALL1,0.0234209669882049,1
MMS19,0.0234209669882049,1
MST1,0.0234209669882049,1
MTSS1,0.0234209669882049,1
NOL9,0.0234209669882049,1
NOX5,0.0234209669882049,1
PPAT,0.0234209669882049,1
PPP3CA,0.0234209669882049,1
PRCC,0.0234209669882049,1
SLC30A8,0.0234209669882049,1
SLC37A4,0.0234209669882049,1
STAMBP,0.0234209669882049,1
TBC1D24,0.0234209669882049,1
TNFRSF10A,0.0234209669882049,1
TRIM54,0.0234209669882049,1
UBQLNL,0.0234209669882049,1
ULBP1,0.0234209669882049,1
VSTM4,0.0234209669882049,1
ZACN,0.0234209669882049,1
ZGPAT,0.0234209669882049,1
ZNF775,0.0234209669882049,1
ZSCAN22,0.0234209669882049,1
NFASC,0.0235477702703436,1
